,balance,equity,balance_btc,equity_btc
12180,106848.03723504001,107197.0337891511,9.898759646400528,9.898759646400528
12240,107621.54058641917,107283.64929596831,9.905879894667006,9.902871466980779
12300,107400.8821447965,108013.61531265009,9.905879894667006,9.905879894667006
12360,107400.8821447965,107210.00134384615,9.905879894667006,9.904063459895163
12420,107400.8821447965,106431.47426879102,9.905879894667006,9.8958890527294
12480,107400.8821447965,106607.43277593097,9.905879894667006,9.897745845829771
12540,107400.8821447965,106786.85239583829,9.905879894667006,9.899633575370078
12600,107400.8821447965,106930.99099527842,9.905879894667006,9.901146032937318
12660,107400.8821447965,106607.7677223278,9.905879894667006,9.89774937515287
12720,107400.8821447965,106579.96717139009,9.905879894667006,9.897456374416125
12780,107400.8821447965,107496.38051314437,9.905879894667006,9.90704396231919
12840,107400.8821447965,107532.77802160097,9.905879894667006,9.907421761822722
12900,107400.8821447965,106699.31973746407,9.905879894667006,9.898713320252234
12960,107400.8821447965,106765.08088004366,9.905879894667006,9.899404810388843
13020,107400.8821447965,105911.74910969427,9.905879894667006,9.890372767763976
13080,107400.8821447965,106140.07090354021,9.905879894667006,9.89280203630343
13140,107400.8821447965,106201.47774296088,9.905879894667006,9.893453805383087
13200,107400.8821447965,106600.28725279839,9.905879894667006,9.897670548919837
13260,107400.8821447965,106758.15865450897,9.905879894667006,9.899332057522916
13320,107400.8821447965,106618.48600702669,9.905879894667006,9.897862303112337
13380,108307.81748841338,107298.42719261191,9.912942411006268,9.904985261628552
13440,107876.5070058656,108117.19160584973,9.912942411006268,9.912942411006268
13500,107876.5070058656,107908.25863467013,9.912942411006268,9.912581091354129
13560,107876.5070058656,107767.63876856379,9.912942411006268,9.91110789140526
13620,107876.5070058656,107509.44413771777,9.912942411006268,9.908394035368271
13680,107876.5070058656,108094.29748696517,9.912942411006268,9.91452490199284
13740,107876.5070058656,108184.576112222,9.912942411006268,9.915466034890734
13800,107876.5070058656,108355.73633111037,9.912942411006268,9.917246522384733
13860,109135.8452267974,107796.50107998418,9.927234370132151,9.91141054431631
13920,109135.8452267974,108983.66072390329,9.927234370132151,9.927234370132151
13980,109135.8452267974,109717.48188854345,9.927234370132151,9.927234370132151
14040,109378.94564614337,109497.39510255762,9.934449955609347,9.927234370132151
14100,109378.94564614337,109451.02512085484,9.934449955609347,9.934874770996686
14160,109378.94564614337,109066.37876187699,9.934449955609347,9.930870285423161
14220,109378.94564614337,109019.26547206343,9.934449955609347,9.93037807760571
14280,109378.94564614337,109159.25924750944,9.934449955609347,9.931839536150962
14340,109378.94564614337,109442.72420788769,9.934449955609347,9.934788614845685
14400,109378.94564614337,108613.30595816993,9.934449955609347,9.926121231727338
